Point,PointYear,TransectNum,Grid,Stratum,Season,DATE,StratumYear,TransectVisitObserver,gc_shrub_50m,shrub_height_50m,gc_grass_50m,grass_height_50m,gc_forb_50m,gc_bare_50m,gc_litter_50m,gc_woody_50m,gc_tumbleweed_50m,gc_other_50m,gc_grass_nubs_50m,shrub_cover,primaryHabitat,gc_shrub_05m,shrub_height_05m,gc_grass_05m,grass_height_05m,gc_forb_05m,gc_bare_05m,gc_litter_05m,gc_woody_05m,gc_tumbleweed_05m,gc_other_05m,gc_grass_nubs_05m,grass_species_1,grass_species_1_pct,grass_species_2,grass_species_2_pct,GrassSpecies1ScientificName,GrassSpecies1CommonName,GrassSpecies1Code2,GrassSpecies1Code6,GrassSpecies2ScientificName,GrassSpecies2CommonName,GrassSpecies2Code2,GrassSpecies2Code6,ShrubLayerCode6_1,ShrubLayerSpeciesAbundance_1,ShrubLayerCommonName_1,ShrubLayerScientificName_1,ShrubLayerCode6_2,ShrubLayerSpeciesAbundance_2,ShrubLayerCommonName_2,ShrubLayerScientificName_2
HC1-304,2020-HC1-304,HC1-3,HC1,HC,2020,"lunes, 30 de diciembre de 2019",HC-2020,ACT,1,140,39,25,1,57,1,0,1,1,0,3,GR,0,NA,25,35,1,72,1,0,0,1,0,19,60,6,20,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,MAHTRI,5,"Desert Holly, Chaparral Berry",Mahonia trifoliata,PROGLA,90,Honey Mesquite,Prosopis glandulosa
HC1-306,2020-HC1-306,HC1-3,HC1,HC,2020,"lunes, 30 de diciembre de 2019",HC-2020,ACT,1,90,24,15,1,70,1,1,1,1,1,2,GR,0,NA,49,30,5,31,5,0,0,10,0,10,50,19,40,Bothriochloa barbinodis,NA,BI,BOTBAR,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,YUCELA,60,Soaptree Yucca,Yucca elata,CONERI,20,Javelina Bush,Condalia ericoides
HC1-308,2020-HC1-308,HC1-3,HC1,HC,2020,"lunes, 30 de diciembre de 2019",HC-2020,ACT,1,180,20,20,1,68,5,1,1,5,0,3,GR,5,130,18,15,1,71,5,0,1,1,0,19,70,6,20,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,PROGLA,80,Honey Mesquite,Prosopis glandulosa,ACACON,10,Whitehorn Acacia,Acacia constricta
HC2-102,2020-HC2-102,HC2-1,HC2,HC,2020,"lunes, 30 de diciembre de 2019",HC-2020,MDERB,1,100,51,25,1,40,5,0,1,1,1,1,GR,0,NA,60,20,1,35,5,0,1,1,1,6,60,44,35,Aristida sp.,Aristida sp,AR,ARI_SP,Hilaria sp.,NA,HS,HIL_SP,YUCELA,85,Soaptree Yucca,Yucca elata,PRO_SP,5,Mesquite,Prosopis sp.
HC2-104,2020-HC2-104,HC2-1,HC2,HC,2020,"lunes, 30 de diciembre de 2019",HC-2020,MDERB,0,NA,45,30,10,35,10,0,1,1,1,NA,GR,0,NA,65,30,0,35,10,0,1,1,0,44,80,56,10,Hilaria sp.,NA,HS,HIL_SP,Panicum sp.,NA,PS,PAN_SP,NA,NA,NA,NA,NA,NA,NA,NA
HC2-106,2020-HC2-106,HC2-1,HC2,HC,2020,"lunes, 30 de diciembre de 2019",HC-2020,MDERB,5,65,54,15,5,30,5,0,1,1,1,7,GR,0,NA,79,20,1,14,5,0,0,0,0,44,95,6,1,Hilaria sp.,NA,HS,HIL_SP,Aristida sp.,Aristida sp,AR,ARI_SP,YUCELA,85,Soaptree Yucca,Yucca elata,EPHTRI,10,Mormon Tea,Ephedra trifurca
HC2-108,2020-HC2-108,HC2-1,HC2,HC,2020,"lunes, 30 de diciembre de 2019",HC-2020,MDERB,10,75,30,15,10,44,5,0,1,1,1,12,SH,5,55,48,20,5,40,1,0,1,1,1,19,90,6,5,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,YUCELA,75,Soaptree Yucca,Yucca elata,CONERI,10,Javelina Bush,Condalia ericoides
HC2-202,2020-HC2-202,HC2-2,HC2,HC,2020,"lunes, 30 de diciembre de 2019",HC-2020,MDERB,10,100,37,10,1,35,5,0,10,1,1,12,GR,1,80,50,15,1,42,5,0,1,1,1,6,40,19,35,Aristida sp.,Aristida sp,AR,ARI_SP,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,PRO_SP,1,Mesquite,Prosopis sp.,YUCELA,95,Soaptree Yucca,Yucca elata
HC2-204,2020-HC2-204,HC2-2,HC2,HC,2020,"lunes, 30 de diciembre de 2019",HC-2020,MDERB,5,70,30,15,1,53,5,1,5,1,1,6,GR,0,NA,15,20,0,80,5,0,1,1,1,19,50,6,35,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,PRO_SP,50,Mesquite,Prosopis sp.,YUCELA,45,Soaptree Yucca,Yucca elata
HC2-206,2020-HC2-206,HC2-2,HC2,HC,2020,"lunes, 30 de diciembre de 2019",HC-2020,MDERB,10,50,40,20,1,38,5,0,5,1,1,14,GR,1,40,35,10,0,61,1,1,1,1,1,6,60,19,35,Aristida sp.,Aristida sp,AR,ARI_SP,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,CONERI,50,Javelina Bush,Condalia ericoides,YUCELA,45,Soaptree Yucca,Yucca elata
HC2-208,2020-HC2-208,HC2-2,HC2,HC,2020,"lunes, 30 de diciembre de 2019",HC-2020,MDERB,10,80,45,25,1,36,5,0,1,1,1,14,GR,1,180,73,30,1,20,5,0,0,1,0,6,85,11,5,Aristida sp.,Aristida sp,AR,ARI_SP,Bothriochloa sp.,NA,B6,BOT_SP,YUCELA,80,Soaptree Yucca,Yucca elata,CONERI,5,Javelina Bush,Condalia ericoides
HC2-302,2020-HC2-302,HC2-3,HC2,HC,2020,"lunes, 30 de diciembre de 2019",HC-2020,MDERB,5,110,41,20,5,41,1,1,5,1,0,7,GR,0,NA,25,20,1,69,1,1,10,1,0,6,85,19,10,Aristida sp.,Aristida sp,AR,ARI_SP,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,YUCELA,5,Soaptree Yucca,Yucca elata,PRO_SP,90,Mesquite,Prosopis sp.
HC2-304,2020-HC2-304,HC2-3,HC2,HC,2020,"lunes, 30 de diciembre de 2019",HC-2020,MDERB,5,65,35,20,1,44,5,0,5,5,1,10,GR,0,NA,60,25,1,34,5,0,1,1,1,44,90,6,5,Hilaria sp.,NA,HS,HIL_SP,Aristida sp.,Aristida sp,AR,ARI_SP,EPHTRI,1,Mormon Tea,Ephedra trifurca,PRO_SP,99,Mesquite,Prosopis sp.
HC2-306,2020-HC2-306,HC2-3,HC2,HC,2020,"lunes, 30 de diciembre de 2019",HC-2020,MDERB,5,35,64,25,5,20,5,0,5,1,1,7,GR,0,NA,63,15,1,30,5,0,1,1,0,44,90,23,5,Hilaria sp.,NA,HS,HIL_SP,Chloris sp.,NA,CS,CHL_SP,PRO_SP,100,Mesquite,Prosopis sp.,NA,NA,NA,NA
HC3-102,2020-HC3-102,HC3-1,HC3,HC,2020,"lunes, 30 de diciembre de 2019",HC-2020,SFALI,5,30,20,15,1,47,1,0,0,30,1,1,GR,5,40,22,10,1,70,1,1,0,5,1,19,NA,6,40,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,NOLTEX,80,NA,Nolina texana,MIMBIU,5,Catclaw Mimosa,Mimosa biuncifera
HC3-104,2020-HC3-104,HC3-1,HC3,HC,2020,"lunes, 30 de diciembre de 2019",HC-2020,SFALI,5,55,23,20,1,46,5,0,1,20,1,3,GR,5,30,25,25,1,54,5,0,0,10,0,10,NA,6,5,Bothriochloa barbinodis,NA,BI,BOTBAR,Aristida sp.,Aristida sp,AR,ARI_SP,NOLTEX,90,NA,Nolina texana,YUCELA,5,Soaptree Yucca,Yucca elata
HC3-106,2020-HC3-106,HC3-1,HC3,HC,2020,"lunes, 30 de diciembre de 2019",HC-2020,SFALI,5,40,21,10,1,63,5,0,1,5,0,5,GR,1,30,58,25,1,20,10,0,0,10,0,10,NA,6,10,Bothriochloa barbinodis,NA,BI,BOTBAR,Aristida sp.,Aristida sp,AR,ARI_SP,NOLTEX,70,NA,Nolina texana,YUCELA,5,Soaptree Yucca,Yucca elata
HC3-202,2020-HC3-202,HC3-2,HC3,HC,2020,"lunes, 30 de diciembre de 2019",HC-2020,SFALI,5,45,21,15,1,65,1,0,1,5,1,2,GR,5,25,27,5,1,73,1,0,1,1,1,19,50,6,20,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,NOLTEX,70,NA,Nolina texana,YUC_SP,20,Yucca,Yucca sp.
HC3-204,2020-HC3-204,HC3-2,HC3,HC,2020,"lunes, 30 de diciembre de 2019",HC-2020,SFALI,20,30,20,10,1,71,1,1,1,5,1,10,DS,10,40,28,10,1,51,5,0,1,5,0,10,70,57,20,Bothriochloa barbinodis,NA,BI,BOTBAR,Pleuraphis mutica,NA,PM,PLEMUT,MIMBIU,90,Catclaw Mimosa,Mimosa biuncifera,YUC_SP,5,Yucca,Yucca sp.
HC3-206,2020-HC3-206,HC3-2,HC3,HC,2020,"lunes, 30 de diciembre de 2019",HC-2020,SFALI,1,25,35,15,1,51,5,0,1,5,1,2,GR,1,20,25,5,1,63,5,0,0,5,0,57,70,6,10,Pleuraphis mutica,NA,PM,PLEMUT,Aristida sp.,Aristida sp,AR,ARI_SP,MIMBIU,80,Catclaw Mimosa,Mimosa biuncifera,NOLTEX,5,NA,Nolina texana
HC3-208,2020-HC3-208,HC3-2,HC3,HC,2020,"lunes, 30 de diciembre de 2019",HC-2020,SFALI,10,35,27,10,1,45,5,0,1,10,1,3,GR,5,40,30,10,1,59,1,0,1,5,0,57,60,6,20,Pleuraphis mutica,NA,PM,PLEMUT,Aristida sp.,Aristida sp,AR,ARI_SP,MIMBIU,90,Catclaw Mimosa,Mimosa biuncifera,YUC_SP,5,Yucca,Yucca sp.
HC3-302,2020-HC3-302,HC3-3,HC3,HC,2020,"lunes, 30 de diciembre de 2019",HC-2020,SFALI,10,50,27,15,1,55,1,0,1,5,1,5,GR,5,30,20,10,1,64,5,0,0,5,0,10,40,11,40,Bothriochloa barbinodis,NA,BI,BOTBAR,Bothriochloa sp.,NA,B6,BOT_SP,DALFOR,60,Featherplume,Dalea formosa,NOLTEX,20,NA,Nolina texana
HC3-304,2020-HC3-304,HC3-3,HC3,HC,2020,"lunes, 30 de diciembre de 2019",HC-2020,SFALI,10,45,20,10,1,44,5,0,0,20,0,8,DS,10,20,24,5,1,50,5,0,0,10,0,6,80,57,10,Aristida sp.,Aristida sp,AR,ARI_SP,Pleuraphis mutica,NA,PM,PLEMUT,NOLTEX,40,NA,Nolina texana,DALFOR,30,Featherplume,Dalea formosa
HC3-306,2020-HC3-306,HC3-3,HC3,HC,2020,"lunes, 30 de diciembre de 2019",HC-2020,SFALI,5,30,25,15,1,57,5,0,1,5,1,5,GR,1,20,35,5,1,60,1,0,0,1,1,11,70,44,20,Bothriochloa sp.,NA,B6,BOT_SP,Hilaria sp.,NA,HS,HIL_SP,DALFOR,70,Featherplume,Dalea formosa,NOLTEX,10,NA,Nolina texana
HC3-308,2020-HC3-308,HC3-3,HC3,HC,2020,"lunes, 30 de diciembre de 2019",HC-2020,SFALI,5,30,27,10,1,50,5,0,1,10,1,3,GR,5,25,32,5,1,59,1,0,0,1,1,11,80,44,10,Bothriochloa sp.,NA,B6,BOT_SP,Hilaria sp.,NA,HS,HIL_SP,NOLTEX,60,NA,Nolina texana,DALFOR,30,Featherplume,Dalea formosa
HC4-102,2020-HC4-102,HC4-1,HC4,HC,2020,"viernes, 3 de enero de 2020",HC-2020,ACT,5,140,41,15,5,42,1,1,0,5,0,7,GR,0,NA,5,5,1,92,1,1,0,1,0,25,80,19,10,Dasyochloa pulchella,NA,DP,DASPUL,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,PROGLA,20,Honey Mesquite,Prosopis glandulosa,YUCELA,70,Soaptree Yucca,Yucca elata
HC4-202,2020-HC4-202,HC4-2,HC4,HC,2020,"viernes, 3 de enero de 2020",HC-2020,ACT,5,60,35,30,5,5,5,1,0,44,0,6,GR,10,50,30,30,5,10,5,0,0,40,0,19,80,45,10,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Leptochloa dubia,NA,LD,LEPDUB,ZIZOBT,50,Graythorn/Lotebush,Ziziphus obtusifolia,NOLTEX,30,NA,Nolina texana
HC4-204,2020-HC4-204,HC4-2,HC4,HC,2020,"viernes, 3 de enero de 2020",HC-2020,ACT,5,130,42,30,1,20,1,1,0,30,0,7,GR,1,60,62,40,1,15,1,0,0,20,0,19,90,10,5,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Bothriochloa barbinodis,NA,BI,BOTBAR,MIMBIU,60,Catclaw Mimosa,Mimosa biuncifera,NOLTEX,30,NA,Nolina texana
HC4-302,2020-HC4-302,HC4-3,HC4,HC,2020,"viernes, 3 de enero de 2020",HC-2020,ACT,5,50,41,30,1,28,5,0,0,20,0,6,GR,1,35,38,25,1,34,1,0,0,25,0,19,70,6,20,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,NOLTEX,80,NA,Nolina texana,PROGLA,10,Honey Mesquite,Prosopis glandulosa
HC4-304,2020-HC4-304,HC4-3,HC4,HC,2020,"viernes, 3 de enero de 2020",HC-2020,ACT,10,190,30,15,1,48,5,0,1,5,0,13,DS,10,150,20,15,5,54,10,0,0,1,0,19,90,60,10,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Setaria sp.,NA,SS,SET_SP,YUCELA,60,Soaptree Yucca,Yucca elata,PROGLA,30,Honey Mesquite,Prosopis glandulosa
HC4-306,2020-HC4-306,HC4-3,HC4,HC,2020,"viernes, 3 de enero de 2020",HC-2020,ACT,5,60,38,20,5,36,1,1,0,15,0,6,GR,1,40,15,10,1,78,1,0,1,5,0,19,80,25,10,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Dasyochloa pulchella,NA,DP,DASPUL,MIMBIU,20,Catclaw Mimosa,Mimosa biuncifera,NOLTEX,70,NA,Nolina texana
HC5-102,2020-HC5-102,HC5-1,HC5,HC,2020,"viernes, 3 de enero de 2020",HC-2020,SFALI,1,25,27,10,1,67,1,0,1,1,1,1,GR,1,25,20,5,1,75,1,0,1,1,1,6,50,26,40,Aristida sp.,Aristida sp,AR,ARI_SP,Dasyochloa sp. ,NA,D7,DAS_SP,CONERI,60,Javelina Bush,Condalia ericoides,YUCELA,30,Soaptree Yucca,Yucca elata
HC5-104,2020-HC5-104,HC5-1,HC5,HC,2020,"viernes, 3 de enero de 2020",HC-2020,SFALI,1,50,39,20,1,52,1,0,5,1,1,1,GR,0,NA,35,10,1,52,1,0,10,1,1,11,60,10,20,Bothriochloa sp.,NA,B6,BOT_SP,Bothriochloa barbinodis,NA,BI,BOTBAR,CONERI,90,Javelina Bush,Condalia ericoides,MAHTRI,5,"Desert Holly, Chaparral Berry",Mahonia trifoliata
HC5-106,2020-HC5-106,HC5-1,HC5,HC,2020,"viernes, 3 de enero de 2020",HC-2020,SFALI,1,35,29,15,5,58,5,1,1,1,1,1,GR,0,NA,14,10,1,83,1,0,1,0,1,44,80,10,10,Hilaria sp.,NA,HS,HIL_SP,Bothriochloa barbinodis,NA,BI,BOTBAR,CONERI,80,Javelina Bush,Condalia ericoides,PROGLA,10,Honey Mesquite,Prosopis glandulosa
HC5-108,2020-HC5-108,HC5-1,HC5,HC,2020,"viernes, 3 de enero de 2020",HC-2020,SFALI,5,40,25,15,1,65,1,0,1,1,1,1,GR,1,30,12,5,1,85,1,0,0,0,0,6,30,26,10,Aristida sp.,Aristida sp,AR,ARI_SP,Dasyochloa sp. ,NA,D7,DAS_SP,EPHTRI,5,Mormon Tea,Ephedra trifurca,PROGLA,90,Honey Mesquite,Prosopis glandulosa
HC5-202,2020-HC5-202,HC5-2,HC5,HC,2020,"viernes, 3 de enero de 2020",HC-2020,SFALI,5,80,35,20,1,56,1,0,1,1,1,2,GR,1,32,40,15,1,57,1,0,1,0,0,11,90,10,5,Bothriochloa sp.,NA,B6,BOT_SP,Bothriochloa barbinodis,NA,BI,BOTBAR,CONERI,40,Javelina Bush,Condalia ericoides,MAHTRI,40,"Desert Holly, Chaparral Berry",Mahonia trifoliata
HC5-204,2020-HC5-204,HC5-2,HC5,HC,2020,"viernes, 3 de enero de 2020",HC-2020,SFALI,1,50,30,15,1,60,5,1,1,1,0,1,GR,5,25,12,5,1,80,1,0,0,1,0,11,80,6,10,Bothriochloa sp.,NA,B6,BOT_SP,Aristida sp.,Aristida sp,AR,ARI_SP,EPHTRI,20,Mormon Tea,Ephedra trifurca,PROGLA,60,Honey Mesquite,Prosopis glandulosa
HC5-206,2020-HC5-206,HC5-2,HC5,HC,2020,"viernes, 3 de enero de 2020",HC-2020,SFALI,1,35,29,15,1,62,1,0,5,1,0,1,GR,0,NA,29,5,1,70,1,0,0,0,0,11,90,26,5,Bothriochloa sp.,NA,B6,BOT_SP,Dasyochloa sp. ,NA,D7,DAS_SP,EPHTRI,70,Mormon Tea,Ephedra trifurca,NOLTEX,10,NA,Nolina texana
HC5-208,2020-HC5-208,HC5-2,HC5,HC,2020,"viernes, 3 de enero de 2020",HC-2020,SFALI,5,75,25,10,1,56,1,0,10,1,1,3,GR,0,NA,5,5,1,63,1,0,30,0,0,19,80,23,10,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Chloris sp.,NA,CS,CHL_SP,CONERI,5,Javelina Bush,Condalia ericoides,PROGLA,90,Honey Mesquite,Prosopis glandulosa
HC5-302,2020-HC5-302,HC5-3,HC5,HC,2020,"sábado, 4 de enero de 2020",HC-2020,SFALI,5,35,40,10,1,48,5,0,1,1,0,5,GR,10,30,40,10,1,47,1,0,0,1,0,10,60,60,30,Bothriochloa barbinodis,NA,BI,BOTBAR,Setaria sp.,NA,SS,SET_SP,NOLTEX,90,NA,Nolina texana,MAHTRI,10,"Desert Holly, Chaparral Berry",Mahonia trifoliata
HC5-304,2020-HC5-304,HC5-3,HC5,HC,2020,"sábado, 4 de enero de 2020",HC-2020,SFALI,1,45,34,10,1,52,5,0,5,1,1,1,GR,0,0,36,5,1,60,1,0,1,0,1,19,70,6,20,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,PROGLA,5,Honey Mesquite,Prosopis glandulosa,MAHTRI,90,"Desert Holly, Chaparral Berry",Mahonia trifoliata
HC5-306,2020-HC5-306,HC5-3,HC5,HC,2020,"sábado, 4 de enero de 2020",HC-2020,SFALI,1,30,20,5,1,75,1,0,1,1,1,1,GR,1,25,20,5,1,77,1,0,1,1,0,25,80,19,10,Dasyochloa pulchella,NA,DP,DASPUL,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,MAHTRI,80,"Desert Holly, Chaparral Berry",Mahonia trifoliata,NOLTEX,10,NA,Nolina texana
HC5-308,2020-HC5-308,HC5-3,HC5,HC,2020,"sábado, 4 de enero de 2020",HC-2020,SFALI,5,30,22,5,1,68,1,0,1,1,1,3,GR,0,0,28,10,1,68,0,0,1,1,1,19,80,6,10,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,YUCELA,70,Soaptree Yucca,Yucca elata,EPHTRI,5,Mormon Tea,Ephedra trifurca
HC6-102,2020-HC6-102,HC6-1,HC6,HC,2020,"viernes, 3 de enero de 2020",HC-2020,MDERB,20,75,25,25,1,50,1,1,1,1,1,25,SH,1,30,29,20,1,69,1,0,1,1,1,19,90,6,5,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,CONERI,60,Javelina Bush,Condalia ericoides,YUC_SP,35,Yucca,Yucca sp.
HC6-104,2020-HC6-104,HC6-1,HC6,HC,2020,"viernes, 3 de enero de 2020",HC-2020,MDERB,10,75,30,15,1,57,1,1,1,1,1,12,SH,10,85,30,10,1,58,1,0,0,1,1,19,95,10,1,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Bothriochloa barbinodis,NA,BI,BOTBAR,PRO_SP,40,Mesquite,Prosopis sp.,YUC_SP,35,Yucca,Yucca sp.
HC6-106,2020-HC6-106,HC6-1,HC6,HC,2020,"viernes, 3 de enero de 2020",HC-2020,MDERB,20,145,41,20,1,36,1,1,1,1,1,23,SH,0,NA,40,20,1,55,5,0,0,1,1,59,70,56,20,Scleropogon brevifolius,NA,SB,SCLBRE,Panicum sp.,NA,PS,PAN_SP,PRO_SP,35,Mesquite,Prosopis sp.,YUC_SP,60,Yucca,Yucca sp.
HC6-108,2020-HC6-108,HC6-1,HC6,HC,2020,"viernes, 3 de enero de 2020",HC-2020,MDERB,20,120,42,25,1,35,1,1,1,1,1,22,SH,10,130,50,45,5,30,5,0,0,1,1,10,50,19,30,Bothriochloa barbinodis,NA,BI,BOTBAR,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,YUC_SP,80,Yucca,Yucca sp.,EPHTRI,10,Mormon Tea,Ephedra trifurca
HC6-202,2020-HC6-202,HC6-2,HC6,HC,2020,"viernes, 3 de enero de 2020",HC-2020,MDERB,5,25,36,15,1,40,1,1,0,5,1,6,XX,0,NA,48,10,1,44,1,1,0,5,0,19,99,6,1,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,NOLTEX,90,NA,Nolina texana,CONERI,5,Javelina Bush,Condalia ericoides
HC6-204,2020-HC6-204,HC6-2,HC6,HC,2020,"viernes, 3 de enero de 2020",HC-2020,MDERB,5,40,40,10,1,52,1,0,1,1,1,6,XX,1,25,52,15,1,46,1,0,0,1,1,19,55,6,40,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,NOLTEX,60,NA,Nolina texana,YUC_SP,35,Yucca,Yucca sp.
HC6-206,2020-HC6-206,HC6-2,HC6,HC,2020,"viernes, 3 de enero de 2020",HC-2020,MDERB,20,45,35,15,1,39,1,1,1,1,1,22,XX,0,NA,27,10,1,70,1,0,0,1,1,19,50,6,25,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,YUC_SP,50,Yucca,Yucca sp.,NOLTEX,35,NA,Nolina texana
HC6-208,2020-HC6-208,HC6-2,HC6,HC,2020,"viernes, 3 de enero de 2020",HC-2020,MDERB,20,75,37,15,1,38,5,0,1,1,1,25,XX,1,30,43,10,1,50,5,0,0,1,0,19,90,10,5,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Bothriochloa barbinodis,NA,BI,BOTBAR,PRO_SP,40,Mesquite,Prosopis sp.,YUC_SP,55,Yucca,Yucca sp.
HC6-302,2020-HC6-302,HC6-3,HC6,HC,2020,"viernes, 3 de enero de 2020",HC-2020,MDERB,10,30,21,15,1,40,1,1,5,10,1,12,DS,5,65,47,30,1,40,5,0,0,1,1,19,75,6,40,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,CONERI,50,Javelina Bush,Condalia ericoides,YUC_SP,35,Yucca,Yucca sp.
HC6-304,2020-HC6-304,HC6-3,HC6,HC,2020,"viernes, 3 de enero de 2020",HC-2020,MDERB,5,30,44,15,1,35,1,0,5,10,1,7,GR,1,30,44,10,1,50,1,0,0,5,1,19,95,6,1,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,NOLTEX,90,NA,Nolina texana,CONERI,5,Javelina Bush,Condalia ericoides
HC6-306,2020-HC6-306,HC6-3,HC6,HC,2020,"viernes, 3 de enero de 2020",HC-2020,MDERB,10,65,28,20,1,40,5,1,5,10,1,13,DS,5,85,30,10,1,53,5,0,1,5,1,19,70,60,10,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Setaria sp.,NA,SS,SET_SP,YUCELA,50,Soaptree Yucca,Yucca elata,NOLTEX,35,NA,Nolina texana
HC6-308,2020-HC6-308,HC6-3,HC6,HC,2020,"viernes, 3 de enero de 2020",HC-2020,MDERB,10,40,22,10,1,60,1,0,5,10,1,12,DS,1,40,8,5,1,85,5,0,1,1,1,19,55,26,40,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Dasyochloa sp. ,NA,D7,DAS_SP,EPHTRI,60,Mormon Tea,Ephedra trifurca,NOLTEX,30,NA,Nolina texana
HC7-102,2020-HC7-102,HC7-1,HC7,HC,2020,"domingo, 5 de enero de 2020",HC-2020,SFALI,5,65,31,15,1,57,1,0,0,5,0,3,GR,5,55,34,10,1,51,5,0,0,5,0,19,80,11,10,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Bothriochloa sp.,NA,B6,BOT_SP,AGAAME,10,NA,Agave americana,NOLTEX,80,NA,Nolina texana
HC7-104,2020-HC7-104,HC7-1,HC7,HC,2020,"domingo, 5 de enero de 2020",HC-2020,SFALI,5,40,42,10,1,45,1,1,0,5,0,2,GR,1,25,40,10,1,57,1,0,0,1,0,19,70,60,10,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Setaria sp.,NA,SS,SET_SP,MIMBIU,20,Catclaw Mimosa,Mimosa biuncifera,NOLTEX,80,NA,Nolina texana
HC7-106,2020-HC7-106,HC7-1,HC7,HC,2020,"domingo, 5 de enero de 2020",HC-2020,SFALI,5,35,26,5,1,62,1,1,0,5,1,1,GR,1,35,28,5,1,66,1,1,0,1,1,19,80,6,10,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,NOLTEX,90,NA,Nolina texana,YUCELA,5,Soaptree Yucca,Yucca elata
HC7-108,2020-HC7-108,HC7-1,HC7,HC,2020,"domingo, 5 de enero de 2020",HC-2020,SFALI,10,45,40,10,1,47,1,1,0,1,1,3,GR,5,70,37,10,1,55,1,0,0,1,0,19,70,60,20,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Setaria sp.,NA,SS,SET_SP,NOLTEX,80,NA,Nolina texana,YUCELA,10,Soaptree Yucca,Yucca elata
HC7-202,2020-HC7-202,HC7-2,HC7,HC,2020,"domingo, 5 de enero de 2020",HC-2020,SFALI,10,120,18,10,1,63,5,0,1,1,1,8,GR,1,40,31,5,0,65,1,0,0,1,1,19,90,37,5,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Eragrostis sp.,NA,E5,ERA_SP,MIMBIU,70,Catclaw Mimosa,Mimosa biuncifera,QUEEMO,20,NA,Quercus emoryi
HC7-204,2020-HC7-204,HC7-2,HC7,HC,2020,"domingo, 5 de enero de 2020",HC-2020,SFALI,10,60,30,15,1,52,1,1,1,5,1,5,GR,20,45,26,10,1,52,1,0,1,1,1,19,80,10,10,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Bothriochloa barbinodis,NA,BI,BOTBAR,NOLTEX,60,NA,Nolina texana,ACA_SP,30,Acacia,Acacia sp.
HC7-206,2020-HC7-206,HC7-2,HC7,HC,2020,"domingo, 5 de enero de 2020",HC-2020,SFALI,5,30,22,5,1,51,1,0,1,10,1,2,GR,10,35,39,15,1,39,1,0,1,10,0,6,70,60,20,Aristida sp.,Aristida sp,AR,ARI_SP,Setaria sp.,NA,SS,SET_SP,NOLTEX,80,NA,Nolina texana,MAHTRI,10,"Desert Holly, Chaparral Berry",Mahonia trifoliata
